PC1	PC2	country	westernization
-0.03618943708794099	0.018357006786157565	GHA	NW
-0.19675094597064202	0.031227173744087768	TZA	NW
-0.256222584973625	0.010159566313490171	TZA	NW
-0.1976011071685956	0.03733770679217577	TZA	NW
-0.23233304977394756	-0.1755649307938918	TZA	NW
-0.29912438666122804	-0.1519098326527339	TZA	NW
-0.27816900072396755	-0.15876253519188988	TZA	NW
-0.3378441030867998	-0.050846978715117126	TZA	NW
-0.305653092436204	-0.08469061299141208	TZA	NW
-0.3815871354671079	-0.007315303652048992	GHA	NW
-0.22045593660089793	-0.16276397979765964	GHA	NW
0.016085998836011254	-0.05572146191813427	TZA	NW
-0.014383495021502522	-0.0483795352772869	TZA	NW
-0.34628549253027463	-0.03869768157801993	GHA	NW
-0.04891717664164726	0.022041998495980045	GHA	NW
0.14810106242230675	-0.007597592499793728	GHA	NW
-0.25814969349923333	0.02141103516844229	GHA	NW
0.19196727799380262	-0.0473709068733849	TZA	NW
0.1793830062713299	0.00805581374975219	TZA	NW
-0.31172267752150173	0.15012627641128265	TZA	NW
-0.3021722031024133	-0.07497546174779592	GHA	NW
-0.3059488346642404	-0.04352752213547173	GHA	NW
-0.23781581612636596	-0.10536843170011967	TZA	NW
-0.09915263698019343	-0.2466050659512162	GHA	NW
0.23465724771515656	0.03712327164513159	GHA	NW
0.04334376554920071	-0.13553419644197753	TZA	NW
-0.28709834671161166	0.06211893826106648	TZA	NW
-0.12053707194312316	-0.030110051686237888	TZA	NW
-0.338373324477117	-0.10274894675203809	TZA	NW
-0.3345682713092602	0.1852036020904858	TZA	NW
0.05370898356440047	0.04293889794632707	TZA	NW
-0.06580335726167708	-0.175585011316624	TZA	NW
-0.03502069429717916	-0.12041676633844108	TZA	NW
0.10513022973270672	-0.10965658876032892	TZA	NW
-0.24355185708280316	0.1751090169335565	TZA	NW
-0.36637927258924513	0.04893197203673169	TZA	NW
-0.3238939893047475	0.008987719167612882	TZA	NW
-0.07007957498338079	0.0388741090124822	TZA	NW
-0.3368888964652353	-0.10836087241105677	TZA	NW
-0.3271662315407497	0.01830599059315707	TZA	NW
-0.15736743947144705	-0.23173686123168005	ETH	NW
-0.2754211629170376	0.1910660206690067	ETH	NW
-0.2909979724409377	-0.09015198438713842	ETH	NW
-0.1930722400078976	-0.21826119706913444	ETH	NW
-0.241433634520745	-0.2291776694071612	ETH	NW
-0.16680606204910386	-0.2662667763389329	ETH	NW
-0.15530588811672894	-0.06524022225241141	ETH	NW
-0.31554634414844945	-0.013947154986500178	ETH	NW
-0.3147496085796713	-0.04493619073994118	ETH	NW
-0.22895535728574484	-0.17031846188053135	ETH	NW
-0.33881332623131355	0.07121388332258914	ETH	NW
-0.21697826702345033	-0.15705312427419488	ETH	NW
-0.20868632171893814	-0.15930519008974203	ETH	NW
-0.28837399440559036	0.32425848219440384	ETH	NW
-0.29612995584171636	-0.03167175597054321	ETH	NW
-0.13816381281977103	-0.05137004455882694	ETH	NW
-0.344571921097178	0.04713819364435483	ETH	NW
-0.10048773830746226	-0.11356288104871014	ETH	NW
-0.15873954833319978	-0.2043894967111457	ETH	NW
-0.17991060898938543	-0.2538236214227281	ETH	NW
-0.2513928160957941	-0.17214443171857025	ETH	NW
-0.3081007413450463	0.2842556316547995	ETH	NW
-0.22775598961207022	0.13366815680590613	ETH	NW
-0.17562839276647732	-0.18739503675543803	ETH	NW
-0.26581753374860756	-0.06286973756953296	TZA	NW
-0.2251328952099607	-0.14423222373702724	TZA	NW
-0.24533722035362532	-0.20257566548653047	TZA	NW
-0.21855485734380767	-0.2317421217386962	TZA	NW
-0.2715004665473162	0.036852542018707087	TZA	NW
-0.276712795394437	-0.11128320402878428	TZA	NW
-0.21659991605560597	-0.19900829597889227	TZA	NW
-0.22769553884828303	-0.1531285833979899	TZA	NW
-0.19655796311545312	-0.2372881975785347	TZA	NW
-0.3394669014237677	0.06368848896353059	TZA	NW
-0.2869821828328811	-0.11665341104303287	TZA	NW
-0.17028119771884478	-0.25885881773820485	TZA	NW
-0.19398121691833473	-0.22571973225443645	TZA	NW
-0.08942367605067181	-0.25926776268431784	TZA	NW
-0.22161542679983195	-0.14824053380023172	TZA	NW
-0.2721819449498984	-0.16624462800959597	TZA	NW
-0.14257602457764124	-0.2630670163102949	TZA	NW
-0.3409552347900743	0.060431160367912594	TZA	NW
-0.3297689156982859	0.19920957638915138	TZA	NW
-0.20146839736943145	-0.14240047257361338	TZA	NW
-0.20087839306826788	-0.1612427329391975	TZA	NW
-0.2804973951810358	-0.04787836322261632	FJI	NW
-0.08642549319368949	-0.23895484146120494	FJI	NW
-0.13801273195761488	-0.28434854332976145	FJI	NW
-0.2539694185932051	-0.2273087455100532	FJI	NW
-0.2705192565562622	-0.13722959253404293	FJI	NW
-0.33810509202410133	-0.05875713736342197	FJI	NW
-0.3403468619320022	0.2191614896941929	FJI	NW
-0.3506777182270334	0.0419923575772665	FJI	NW
-0.3898844056203707	0.08765235561986623	FJI	NW
-0.3807619205170437	0.030863844180681506	FJI	NW
-0.23152542110369473	-0.19949078744696874	FJI	NW
-0.18222323916682628	-0.2558538444663986	FJI	NW
-0.32825164701243786	0.0206960060796269	FJI	NW
-0.3584621133806854	0.036998654132174895	FJI	NW
-0.31639724750583226	-0.05485598252188019	FJI	NW
-0.3112530070410012	-0.07685050223432809	FJI	NW
-0.3796592204236526	0.2854661500590863	FJI	NW
-0.19016399566908657	-0.28046766761888575	FJI	NW
-0.1244793865383822	-0.2663211721185406	FJI	NW
-0.35113971261790206	0.10987479787307673	FJI	NW
-0.38640538179425105	0.030091660247234805	FJI	NW
-0.2584161754903223	-0.1971659576982376	FJI	NW
-0.3492066985723382	0.05966541181523235	FJI	NW
-0.30265066960928017	-0.16423977222320701	FJI	NW
-0.23430852386164316	-0.014200991299246317	FJI	NW
-0.33753370362462304	0.22858519111341477	FJI	NW
-0.3498927520110672	-0.027167352580610357	FJI	NW
-0.35023698399348685	0.021177172571285267	FJI	NW
-0.23135365499607097	0.32877128953534446	FJI	NW
-0.40052039746340073	0.09519058417634775	FJI	NW
-0.3873908379220199	0.18998398377440745	FJI	NW
-0.39260068024689027	0.14643135279513605	FJI	NW
-0.3627728209472594	0.20368309284184344	FJI	NW
-0.31504423502070955	0.02809372210982636	FJI	NW
-0.3171868959588212	-0.12272290611440705	FJI	NW
-0.3783082193301268	-0.0747788200164036	FJI	NW
-0.3240332425999071	-0.1618188188234338	FJI	NW
-0.2564248342025408	-0.18100702485850984	FJI	NW
-0.31123344780552553	0.15587434061051217	FJI	NW
